iso_a3,currency_code,name,local_price,dollar_ex,dollar_price
CHE,CHF,Switzerland,6.5,0.97,6.7118
NOR,NOK,Norway,62,9.90,6.2641
URY,UYU,Uruguay,255,41.91,6.0845
SWE,SEK,Sweden,57,10.20,5.5894
CAN,CAD,Canada,6.77,1.29,5.2515
USA,USD,United States,5.15,1.00,5.1500
LBN,LBP,Lebanon,130000,25600.00,5.0781
ISR,ILS,Israel,17,3.44,4.9455
ARE,AED,United Arab Emirates,18,3.67,4.9006
EUZ,EUR,Euro area,4.65,0.98,4.7651
AUS,AUD,Australia,6.7,1.45,4.6257
ARG,ARS,Argentina,590,129.12,4.5696
SAU,SAR,Saudi Arabia,17,3.76,4.5273
GBR,GBP,Britain,3.69,0.83,4.4400
NZL,NZD,New Zealand,7.1,1.60,4.4272
BRA,BRL,Brazil,22.9,5.39,4.2472
BHR,BHD,Bahrain,1.6,0.38,4.2440
SGP,SGD,Singapore,5.9,1.39,4.2403
KWT,KWD,Kuwait,1.3,0.31,4.2290
CZE,CZK,Czech Republic,95,23.92,3.9716
CRI,CRC,Costa Rica,2650,678.11,3.9079
NIC,NIO,Nicaragua,139,35.89,3.8729
LKA,LKR,Sri Lanka,1340,360.00,3.7222
OMN,OMR,Oman,1.42,0.39,3.6883
HRV,HRK,Croatia,27,7.33,3.6843
CHL,CLP,Chile,3400,928.44,3.6621
HND,HNL,Honduras,89,24.62,3.6157
POL,PLN,Poland,16.68,4.65,3.5883
PER,PEN,Peru,13.9,3.89,3.5706
QAT,QAR,Qatar,13,3.64,3.5697
CHN,CNY,China,24,6.75,3.5570
KOR,KRW,South Korea,4600,1313.45,3.5022
THA,THB,Thailand,128,36.61,3.4961
COL,COP,Colombia,14950,4295.10,3.4807
MEX,MXN,Mexico,70,20.41,3.4293
GTM,GTQ,Guatemala,26,7.73,3.3644
JOR,JOD,Jordan,2.3,0.71,3.2388
PAK,PKR,Pakistan,700,221.75,3.1567
MDA,MDL,Moldova,60,19.30,3.1091
VNM,VND,Vietnam,69000,23417.00,2.9466
JPN,JPY,Japan,390,137.87,2.8289
AZE,AZN,Azerbaijan,4.7,1.70,2.7676
PHL,PHP,Philippines,155,56.27,2.7548
TUR,TRY,Turkey,47,17.57,2.6758
HKG,HKD,Hong Kong,21,7.85,2.6752
HUN,HUF,Hungary,1030,389.05,2.6475
TWN,TWD,Taiwan,75,29.91,2.5077
MYS,MYR,Malaysia,10.9,4.45,2.4494
EGY,EGP,Egypt,46,18.95,2.4281
IND,INR,India,191,79.95,2.3890
ZAF,ZAR,South Africa,39.9,17.04,2.3421
IDN,IDR,Indonesia,35000,14977.50,2.3368
ROU,RON,Romania,11,4.82,2.2813
VEN,VES,Venezuela,10,5.67,1.7627
